step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,60.658879226136385,0,0.0,0.9960518969726422,0,0.0
10.0,0,0.0,0.0,60.50960437412596,0,0.0,0.9936007224469641,0,0.0
15.0,0,0.0,0.0,33.81052817374812,0,0.0,0.39466534618298427,0,0.0
20.0,0,0.0,0.0,35.61707413923805,0,0.0,0.6027372871846093,0,0.0
25.0,0,0.0,0.0,37.77212087553571,0,0.0,0.8417317474766133,0,0.0
30.0,0,0.0,0.0,16.95648168197854,0,0.0,0.9739660280683647,0,0.0
35.0,0,0.0,0.0,29.138008935995636,0,0.0,0.9863046423479094,0,0.0
40.0,0,0.0,0.0,28.99911091047652,0,0.0,0.9930722822091895,0,0.0
45.0,0,0.0,0.0,29.03698592723971,0,0.0,0.9936614154932792,0,0.0
50.0,0,0.0,0.0,30.747311266061423,0,0.0,0.9422272856529285,0,0.0
55.0,0,0.0,0.0,21.955443651521396,0,0.0,0.7246803548383947,0,0.0
60.0,0,0.0,0.0,23.173670019010366,0,0.0,0.9195917729027129,0,0.0
65.0,0,0.0,0.0,21.400924468213276,0,0.0,0.8366173835767361,0,0.0
70.0,1,1.0,0.1111111111111111,22.62080802177908,1,1.0,0.8121499024382212,1,1.0
75.0,1,6.0,0.6,25.82404674199912,1,5.0,0.8242740110771003,1,5.0
80.0,1,11.0,1.0,24.014650737022677,1,10.0,0.8114505411529939,1,10.0
85.0,1,16.0,1.4545454545454546,23.40440211796687,1,15.0,0.8264187983167387,1,15.0
90.0,1,21.0,1.9090909090909092,19.389224398879296,1,20.0,0.7790373029842496,1,20.0
95.0,2,27.0,2.4545454545454546,15.364247415689949,2,26.0,0.6469711435735098,2,26.0
100.0,2,7.0,0.6363636363636364,13.828871078448755,2,36.0,0.5438938032539957,2,36.0
105.0,2,17.0,1.5454545454545454,14.379516739501883,2,17.0,0.5901202515561055,2,17.0
110.0,0,0.0,0.0,15.284155434809469,0,25.0,0.35105288849848676,0,25.0
115.0,0,0.0,0.0,19.940554004363396,0,0.0,0.9819803298033575,0,0.0
120.0,0,0.0,0.0,23.983136683325924,0,0.0,0.9867074387269748,0,0.0
125.0,0,0.0,0.0,24.572162238902063,0,0.0,0.9538348312181812,0,0.0
130.0,0,0.0,0.0,23.780395280595105,0,0.0,0.8952390246582311,0,0.0
135.0,1,2.0,0.15384615384615385,20.205589867631808,1,2.0,0.7171888545428702,1,2.0
140.0,1,7.0,0.5384615384615384,18.64904131991797,1,9.0,0.6295835777519143,1,9.0
145.0,2,17.0,1.0,17.356779568616773,2,17.0,0.6231455129844806,2,17.0
150.0,2,27.0,1.6875,15.01361338362375,2,27.0,0.5930799886864445,2,27.0
155.0,3,40.0,2.5,14.549156712806992,3,40.0,0.6327139021242598,3,40.0
160.0,2,47.0,3.1333333333333333,12.847586639883096,2,54.0,0.6149618634051056,2,54.0
165.0,3,60.0,3.3333333333333335,17.806245536266108,3,60.0,0.7125655511662793,3,60.0
170.0,3,69.0,3.2857142857142856,18.281480508847398,3,76.0,0.6609744364070145,3,76.0
175.0,5,92.0,4.0,20.481051938720746,5,92.0,0.6971050280078204,5,92.0
180.0,4,107.0,4.6521739130434785,17.678526706063423,4,116.0,0.6247323563488618,4,116.0
185.0,5,129.0,5.375,16.615424282761733,5,129.0,0.6127070470824861,5,129.0
190.0,5,141.0,5.222222222222222,16.890327126803022,5,156.0,0.601215415528309,5,156.0
195.0,7,172.0,5.548387096774194,18.510941646525232,7,170.0,0.5971326435237109,7,170.0
200.0,8,211.0,6.205882352941177,18.639486623929514,8,209.0,0.6055237438090015,8,209.0
205.0,10,236.0,6.555555555555555,15.362974482051433,10,253.0,0.5180689175029635,10,253.0
210.0,12,292.0,8.342857142857143,14.495784653409917,12,290.0,0.5130828016092274,12,290.0
215.0,12,308.0,7.7,13.055608801071765,12,352.0,0.43875233043231027,12,352.0
220.0,13,369.0,9.225,12.558423556927284,13,367.0,0.4526136701525345,13,367.0
225.0,15,422.0,10.292682926829269,12.419108372421723,15,420.0,0.42240077768848805,15,420.0
230.0,15,485.0,11.547619047619047,12.153776682289479,15,494.0,0.3839746552432593,15,494.0
235.0,16,562.0,13.069767441860465,12.115249651281381,16,552.0,0.38744228754015425,16,552.0
240.0,12,236.0,5.0212765957446805,13.173667019740858,12,631.0,0.44651523249324165,12,631.0
245.0,8,122.0,2.489795918367347,13.957094755107134,8,269.0,0.5375983986953756,8,269.0
250.0,14,176.0,3.6666666666666665,12.91201651026501,14,332.0,0.4742663364252713,14,332.0
255.0,16,242.0,4.566037735849057,14.301409050091555,16,400.0,0.4690768238090817,16,400.0
260.0,15,170.0,3.1481481481481484,11.90762453991907,15,488.0,0.36593906649941516,15,488.0
265.0,13,200.0,3.5714285714285716,11.870659973955295,13,381.0,0.39978368516095203,13,381.0
270.0,13,265.0,4.649122807017544,12.46807577599456,13,388.0,0.4463774843430736,13,388.0
275.0,14,306.0,5.1,13.706976611855728,14,456.0,0.44739570424235486,14,456.0
280.0,15,366.0,5.903225806451613,14.101459866882292,15,494.0,0.44474156722239605,15,494.0
285.0,17,348.0,5.898305084745763,12.484408578297932,17,580.0,0.45430607878271784,17,580.0
290.0,17,394.0,6.459016393442623,13.36875223500641,17,534.0,0.4844857827837437,17,534.0
295.0,14,271.0,4.301587301587301,13.587468020406261,14,529.0,0.44803423989084934,14,529.0
300.0,12,186.0,2.8181818181818183,14.707184711638197,12,361.0,0.5365892078819211,12,361.0
305.0,13,250.0,3.8461538461538463,14.086831525036558,13,285.0,0.5270250283581849,13,285.0
310.0,12,267.0,4.107692307692307,13.318458745505893,12,350.0,0.5105543889871828,12,350.0
315.0,14,337.0,5.184615384615385,12.805426732504587,14,361.0,0.5372337954376639,14,361.0
320.0,16,371.0,5.796875,12.133496671689414,16,444.0,0.4721523025518292,16,444.0
325.0,17,410.0,6.3076923076923075,12.965071033513127,17,459.0,0.47256060648373616,17,459.0
330.0,16,447.0,6.573529411764706,12.636453611811255,16,553.0,0.40725645372851504,16,553.0
335.0,19,517.0,7.28169014084507,13.210725570580122,19,569.0,0.44436254741440356,19,569.0
340.0,24,600.0,8.571428571428571,12.265527608636294,24,661.0,0.4014111223171621,24,661.0
345.0,21,676.0,9.797101449275363,12.280291721265556,21,758.0,0.41519024875748517,21,758.0
350.0,21,378.0,5.478260869565218,11.586239050922112,21,873.0,0.3544923817125968,21,873.0
355.0,16,228.0,3.3043478260869565,11.419504676814752,16,443.0,0.4217517099854242,16,443.0
360.0,18,297.0,4.125,11.914656422099695,18,530.0,0.38586041051076636,18,530.0
365.0,24,383.0,5.0394736842105265,13.191701655701658,24,586.0,0.4091170819210616,24,586.0
370.0,28,511.0,6.468354430379747,13.675961207964528,28,700.0,0.38877736461267676,28,700.0
375.0,28,499.0,6.397435897435898,12.587253893667866,28,802.0,0.3518783187945098,28,802.0
380.0,23,508.0,6.430379746835443,12.000493250070987,23,747.0,0.35617210294017143,23,747.0
385.0,22,482.0,5.807228915662651,12.238057665584574,22,866.0,0.3609954563178058,22,866.0
390.0,23,469.0,5.517647058823529,12.996969283193604,23,684.0,0.3758721211240725,23,684.0
395.0,28,605.0,7.289156626506024,12.616705940539278,28,714.0,0.3832968672826897,28,714.0
400.0,29,700.0,8.235294117647058,13.229510468139875,29,855.0,0.3869927357818702,29,855.0
405.0,25,763.0,8.770114942528735,12.287680766145654,25,934.0,0.36978388925262634,25,934.0
410.0,29,898.0,10.089887640449438,13.15265872395419,29,1026.0,0.39817981821810955,29,1026.0
415.0,26,868.0,9.333333333333334,12.345061157941368,26,1173.0,0.36027533540089207,26,1173.0
420.0,23,785.0,8.722222222222221,11.48639176755291,23,969.0,0.3581030426726346,23,969.0
425.0,21,680.0,7.555555555555555,10.43396103320893,21,1044.0,0.27471614586950427,21,1044.0
430.0,31,809.0,8.988888888888889,9.672782738690604,31,1105.0,0.24967047183310706,31,1105.0
435.0,32,916.0,10.409090909090908,9.379351160517357,32,1274.0,0.29072028393630367,32,1274.0
440.0,21,923.0,10.60919540229885,10.457548751154794,21,1220.0,0.3185643711209193,21,1220.0
445.0,21,1028.0,11.55056179775281,12.22568589679449,21,1205.0,0.4110884613163472,21,1205.0
450.0,24,1090.0,12.386363636363637,12.126602683692948,24,1271.0,0.375542471385759,24,1271.0
455.0,26,1216.0,12.282828282828282,13.784688482922988,26,1344.0,0.4227807414953404,26,1344.0
460.0,26,1299.0,13.53125,13.753175713348142,26,1486.0,0.402216252712094,26,1486.0
465.0,25,1380.0,14.081632653061224,14.093138051391954,25,1483.0,0.45327172066409255,25,1483.0
470.0,29,1518.0,15.18,14.289896596996911,29,1591.0,0.46874708771384166,29,1591.0
475.0,31,1668.0,16.352941176470587,14.368794434407551,31,1728.0,0.4497758827417944,31,1728.0
480.0,29,1742.0,17.247524752475247,12.897779209056859,29,1887.0,0.40451339827932165,29,1887.0
485.0,25,1807.0,18.43877551020408,11.553304362763937,25,1906.0,0.4344682691411369,25,1906.0
490.0,28,1946.0,19.26732673267327,13.562093428012162,28,2014.0,0.47585748395402744,28,2014.0
495.0,27,2060.0,20.0,13.264762706481026,27,2151.0,0.4518045325778935,27,2151.0
500.0,30,2205.0,21.0,13.23023383198219,30,2274.0,0.46168128501499067,30,2274.0
505.0,33,2362.0,22.71153846153846,12.05742849038544,33,2431.0,0.45280294799262344,33,2431.0
510.0,32,2500.0,23.80952380952381,11.8886782497734,32,2596.0,0.43087907638844813,32,2596.0
515.0,35,2637.0,24.416666666666668,12.322308377162958,35,2713.0,0.41193162670953765,35,2713.0
520.0,37,2814.0,24.902654867256636,13.481189978201446,37,2880.0,0.41470155274230064,37,2880.0
525.0,39,2980.0,27.339449541284402,12.068746266404634,39,3072.0,0.37194858459791025,39,3072.0
530.0,40,3145.0,31.138613861386137,9.772352934677048,40,3224.0,0.31605714678921504,40,3224.0
535.0,45,3344.0,33.10891089108911,8.743639088810164,45,3448.0,0.2835019167508395,45,3448.0
540.0,48,3546.0,34.42718446601942,9.675783621576349,48,3637.0,0.31339251351680825,48,3637.0
545.0,49,3787.0,35.72641509433962,10.158079834399295,49,3864.0,0.2981574686190645,49,3864.0
550.0,51,3774.0,35.94285714285714,10.233618456755789,51,4121.0,0.25798275435420487,51,4121.0
555.0,46,3127.0,30.067307692307693,9.782177973864432,46,3804.0,0.27077997084483535,46,3804.0
560.0,45,3083.0,29.932038834951456,9.384386905847952,45,4029.0,0.2659406282814456,45,4029.0
565.0,47,3278.0,30.35185185185185,9.594022532463192,47,4240.0,0.2354808555652282,47,4240.0
570.0,57,3531.0,31.526785714285715,9.926670095157252,57,4514.0,0.2299192162757886,57,4514.0
575.0,52,3724.0,33.25,9.104131814835702,52,4493.0,0.21497705209617954,52,4493.0
580.0,53,3970.0,35.13274336283186,8.455485659118311,53,4572.0,0.21109864539646914,53,4572.0
585.0,56,4242.0,36.56896551724138,7.9590838835905,56,4619.0,0.21598026803921305,56,4619.0
590.0,61,4541.0,37.84166666666667,8.468801422966454,61,4740.0,0.23082830974384008,61,4740.0
595.0,61,4836.0,40.3,8.917037894829464,61,4945.0,0.24371607219316258,61,4945.0
600.0,62,4828.0,39.2520325203252,9.184321993933322,62,5185.0,0.25443064808759275,62,5185.0
605.0,48,4300.0,34.4,9.700356253175007,48,4940.0,0.27712455911912864,48,4940.0
610.0,47,4389.0,34.2890625,10.112332361191232,47,4939.0,0.28974406214042214,47,4939.0
615.0,46,4610.0,34.92424242424242,10.686068561166334,46,4883.0,0.3097056417028421,46,4883.0
620.0,50,4855.0,35.43795620437956,11.675308773855857,50,4992.0,0.3318391954134194,50,4992.0
625.0,51,4890.0,35.693430656934304,11.07200318769452,51,5254.0,0.298524979270841,51,5254.0
630.0,44,4918.0,34.87943262411348,11.51173837200716,44,5189.0,0.33578597344079725,44,5189.0
635.0,45,5141.0,36.72142857142857,11.197933564265911,45,5297.0,0.3297304072750053,45,5297.0
640.0,49,5341.0,35.84563758389262,12.249474739336918,49,5484.0,0.3541595879623723,49,5484.0
645.0,52,5582.0,36.966887417218544,12.756866364812673,52,5727.0,0.3712169661446604,52,5727.0
650.0,58,5224.0,34.82666666666667,11.860789303795064,58,6005.0,0.33321931818625583,58,6005.0
655.0,53,2849.0,18.74342105263158,11.776426931176854,53,5623.0,0.34381256311540126,53,5623.0
660.0,52,1559.0,10.123376623376624,11.266620394846926,52,4900.0,0.3226200504554236,52,4900.0
665.0,49,1199.0,7.8881578947368425,11.221586172652692,49,4406.0,0.3162035017580644,49,4406.0
670.0,48,1279.0,8.414473684210526,10.297621005460817,48,4219.0,0.2913387038018607,48,4219.0
675.0,53,1436.0,9.768707482993197,8.66966273922669,53,4479.0,0.2757867218836352,53,4479.0
680.0,60,1695.0,11.689655172413794,7.275422953432773,60,3817.0,0.25592399029421053,60,3817.0
685.0,62,1997.0,13.678082191780822,7.650681600618445,62,3710.0,0.2684945945500184,62,3710.0
690.0,67,2145.0,14.205298013245033,7.799052026347298,67,4049.0,0.258935239131921,67,4049.0
695.0,64,2315.0,15.032467532467532,8.065076116155371,64,4132.0,0.2647464242685185,64,4132.0
700.0,76,2671.0,17.012738853503183,8.055587598275272,76,4394.0,0.2562577932852842,76,4394.0
705.0,83,3072.0,19.32075471698113,8.675795322219454,83,4748.0,0.2621379764504517,83,4748.0
710.0,84,3492.0,21.825,8.779360622002844,84,5166.0,0.2550342602774125,84,5166.0
715.0,87,3918.0,24.335403726708076,9.28240121694376,87,5592.0,0.2542553455795272,87,5592.0
720.0,90,4358.0,27.40880503144654,8.961676393728885,90,6032.0,0.23750893741964185,90,6032.0
725.0,94,4812.0,29.163636363636364,9.594454170188854,94,6486.0,0.22564261407929917,94,6486.0
730.0,96,5287.0,30.560693641618496,10.402479659661887,96,6961.0,0.23528474442434613,96,6961.0
735.0,96,5767.0,33.335260115606935,9.56700069016017,96,7441.0,0.21042391262306123,96,7441.0
740.0,99,6255.0,37.90909090909091,7.933023989434765,99,7929.0,0.20465292505615065,99,7929.0
745.0,104,6762.0,40.734939759036145,7.480440645192317,104,8436.0,0.19668906444027195,104,8436.0
750.0,101,6575.0,39.60843373493976,7.079720200674271,101,8953.0,0.18920526431193402,101,8953.0
755.0,79,4412.0,25.502890173410403,6.816333099151354,79,8551.0,0.19304465317680725,79,8551.0
760.0,68,4016.0,23.080459770114942,7.075370652639438,68,7965.0,0.2275952581113239,68,7965.0
765.0,68,4236.0,24.485549132947977,7.366724567513639,68,7377.0,0.26128406051917397,68,7377.0
770.0,69,4556.0,26.335260115606935,8.181820920645741,69,6997.0,0.26794487839660835,69,6997.0
775.0,71,4902.0,28.01142857142857,9.376134877041206,71,6725.0,0.273415621494155,71,6725.0
780.0,71,5148.0,28.285714285714285,10.07441736303754,71,7031.0,0.2653090396788106,71,7031.0
785.0,66,5051.0,27.155913978494624,11.058392506015124,66,7046.0,0.28637503031310524,66,7046.0
790.0,71,5375.0,27.994791666666668,11.610896787138302,71,7339.0,0.2836420089161354,71,7339.0
795.0,78,5751.0,30.268421052631577,11.130153489838305,78,7746.0,0.26056060173424034,78,7746.0
