step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,60.54514371842834,0,0.0,0.9941842978733675,0,0.0
10.0,0,0.0,0.0,60.521585696905284,0,0.0,0.9937974623049178,0,0.0
15.0,0,0.0,0.0,33.89149506709882,0,0.0,0.4988488489098756,0,0.0
20.0,0,0.0,0.0,35.65910657879076,0,0.0,0.7443141546709013,0,0.0
25.0,0,0.0,0.0,37.46406153316579,0,0.0,0.9919589576362865,0,0.0
30.0,0,0.0,0.0,14.069037396411366,0,0.0,0.992348056597148,0,0.0
35.0,0,0.0,0.0,27.601188905453416,0,0.0,0.9901012823159652,0,0.0
40.0,0,0.0,0.0,27.821501007473344,0,0.0,0.9851937682924653,0,0.0
45.0,0,0.0,0.0,27.825399253260283,0,0.0,0.9867934139518736,0,0.0
50.0,0,0.0,0.0,31.12006490851286,0,0.0,0.9680137033161988,0,0.0
55.0,0,0.0,0.0,22.36672879165876,0,0.0,0.8288096367838254,0,0.0
60.0,0,0.0,0.0,23.451326703759854,0,0.0,0.9361045005793706,0,0.0
65.0,0,0.0,0.0,21.427705528684903,0,0.0,0.9182274542747689,0,0.0
70.0,1,2.0,0.2222222222222222,21.259397438427474,1,2.0,0.7442585022840776,1,2.0
75.0,2,11.0,1.1,24.613953889740777,2,11.0,0.7368426005730521,2,11.0
80.0,1,12.0,1.2,21.773196342305244,1,13.0,0.7345456812680111,1,13.0
85.0,1,17.0,1.5454545454545454,20.25017185736564,1,10.0,0.7929406539750701,1,10.0
90.0,2,23.0,2.090909090909091,15.800349243041557,2,16.0,0.6683085436968834,2,16.0
95.0,4,37.0,3.3636363636363638,13.236327213262909,4,30.0,0.553403991725737,4,30.0
100.0,3,50.0,4.545454545454546,10.061998266860426,3,50.0,0.4345030086107352,3,50.0
105.0,3,65.0,5.909090909090909,6.745122628832932,3,58.0,0.4022046839137416,3,58.0
110.0,5,87.0,7.909090909090909,6.275245039360167,5,80.0,0.3697509420640368,5,80.0
115.0,5,112.0,8.615384615384615,10.249367845582109,5,105.0,0.4930229336694323,5,105.0
120.0,5,137.0,9.785714285714286,12.364756220957663,5,131.0,0.45260931708979785,5,131.0
125.0,5,162.0,11.571428571428571,12.777797049890813,5,155.0,0.4437801496012696,5,155.0
130.0,7,188.0,11.058823529411764,14.701804763672373,7,181.0,0.45743931300551677,7,181.0
135.0,7,223.0,12.38888888888889,12.96107923976355,7,216.0,0.3892788582257024,7,216.0
140.0,6,248.0,13.777777777777779,12.277634837935482,6,241.0,0.4340366866793581,6,241.0
145.0,6,278.0,13.238095238095237,13.165879606485175,6,271.0,0.4638119031507461,6,271.0
150.0,6,308.0,15.4,10.445271956954606,6,301.0,0.41064405175264423,6,301.0
155.0,8,342.0,17.1,9.278832515796843,8,335.0,0.40784022215057414,8,335.0
160.0,8,382.0,18.19047619047619,9.334932018069194,8,375.0,0.4094819046715052,8,375.0
165.0,9,425.0,17.0,14.564640611685753,9,418.0,0.5254360709248389,9,418.0
170.0,9,470.0,16.785714285714285,15.23436377314832,9,463.0,0.5132764497015353,9,463.0
175.0,11,524.0,17.466666666666665,17.234277044834098,11,517.0,0.5327460353219992,11,517.0
180.0,11,579.0,19.96551724137931,15.063321834582036,11,572.0,0.4714741311174004,11,572.0
185.0,12,637.0,21.233333333333334,13.466979481649256,12,630.0,0.4364812909460255,12,630.0
190.0,14,702.0,22.64516129032258,13.0117027002451,14,695.0,0.4211710650100684,14,695.0
195.0,16,781.0,22.314285714285713,15.339903892449946,16,775.0,0.4374967293942592,16,775.0
200.0,16,861.0,24.6,14.580363149731594,16,855.0,0.4564027707625362,16,855.0
205.0,17,943.0,24.17948717948718,14.55913331554596,17,937.0,0.4468397211590748,17,937.0
210.0,17,1028.0,25.7,14.100450151398451,17,1022.0,0.4372236037587452,17,1022.0
215.0,13,597.0,13.568181818181818,12.116147630335087,13,1105.0,0.38677039000949737,13,1105.0
220.0,12,511.0,11.613636363636363,10.641528226451046,12,622.0,0.4085603270600525,12,622.0
225.0,15,484.0,10.755555555555556,10.075082678710157,15,678.0,0.36076924115563597,15,678.0
230.0,17,558.0,12.130434782608695,9.475137992205697,17,659.0,0.348643972472188,17,659.0
235.0,21,639.0,13.3125,9.887713113597473,21,758.0,0.3276771062458758,21,758.0
240.0,21,739.0,13.436363636363636,12.455448182609716,21,842.0,0.39675979237984693,21,842.0
245.0,18,731.0,13.053571428571429,11.749060447779152,18,954.0,0.39456722847062525,18,954.0
250.0,13,714.0,12.526315789473685,12.468948023554475,13,831.0,0.44032240104667947,13,831.0
255.0,17,762.0,12.290322580645162,13.709399552637352,17,905.0,0.4343781286468488,17,905.0
260.0,22,864.0,13.935483870967742,11.922305428961122,22,974.0,0.3792744104185939,22,974.0
265.0,27,991.0,16.24590163934426,10.707150032557283,27,1101.0,0.3266887461240945,27,1101.0
270.0,27,1126.0,17.873015873015873,10.9113965984021,27,1236.0,0.3149758799250411,27,1236.0
275.0,32,1282.0,19.424242424242426,10.303662832770453,32,1392.0,0.29985222694001623,32,1392.0
280.0,34,1449.0,21.954545454545453,9.567477497858755,34,1559.0,0.29415425034664705,34,1559.0
285.0,34,1554.0,22.852941176470587,9.225633627820926,34,1694.0,0.3124154022404566,34,1694.0
290.0,36,1728.0,26.584615384615386,7.950138564580523,36,1837.0,0.2958206232782061,36,1837.0
295.0,33,1667.0,24.514705882352942,8.947542294582192,33,2018.0,0.31284407566301375,33,2018.0
300.0,16,1306.0,18.65714285714286,9.981031021708146,16,1722.0,0.4049412214667201,16,1722.0
305.0,23,1385.0,19.23611111111111,9.08169129213028,23,1818.0,0.35767724456403555,23,1818.0
310.0,34,1517.0,20.226666666666667,9.35573341577132,34,1943.0,0.34150543512699066,34,1943.0
315.0,33,1645.0,21.363636363636363,10.123999185736693,33,2112.0,0.37250712780449974,33,2112.0
320.0,33,1809.0,23.192307692307693,10.20149170435969,33,2240.0,0.35117544536189343,33,2240.0
325.0,33,1857.0,23.2125,10.402900986677293,33,2413.0,0.2954220196914323,33,2413.0
330.0,25,1781.0,21.987654320987655,10.503364790838779,25,2161.0,0.3496338081068236,25,2161.0
335.0,28,1913.0,22.24418604651163,11.718918231138549,28,2004.0,0.3832838769731131,28,2004.0
340.0,32,2036.0,24.829268292682926,10.443332663418495,32,2156.0,0.3449257795263785,32,2156.0
345.0,32,2162.0,26.365853658536587,10.52795849617789,32,2273.0,0.3511709721812463,32,2273.0
350.0,32,2221.0,26.44047619047619,9.964215432148976,32,2441.0,0.2917314248679823,32,2441.0
355.0,34,2324.0,26.40909090909091,10.201693864649462,34,2477.0,0.28373161051718954,34,2477.0
360.0,37,2504.0,28.134831460674157,10.803995910659777,37,2619.0,0.2868333680241301,37,2619.0
365.0,39,2693.0,27.762886597938145,12.772808997691445,39,2808.0,0.32566722235727263,39,2808.0
370.0,39,2836.0,29.541666666666668,12.689806085015098,39,2957.0,0.31869320767828685,39,2957.0
375.0,34,2837.0,30.50537634408602,11.356827768371666,34,3092.0,0.29705756439721426,34,3092.0
380.0,31,2831.0,30.117021276595743,10.832492923312056,31,2979.0,0.30603201375156713,31,2979.0
385.0,35,2470.0,25.729166666666668,10.801255474768901,35,3145.0,0.3092511888376975,35,3145.0
390.0,31,954.0,9.73469387755102,11.525365239781552,31,2276.0,0.3308338543294984,31,2276.0
395.0,24,442.0,4.42,11.848868103466236,24,2017.0,0.31833194648053176,24,2017.0
400.0,23,449.0,4.628865979381444,11.66357588725747,23,2128.0,0.33622795075752726,23,2128.0
405.0,25,556.0,5.616161616161616,11.340013682138672,25,1906.0,0.30945979417931274,25,1906.0
410.0,28,684.0,7.051546391752577,11.321354143652359,28,1856.0,0.31789428201046444,28,1856.0
415.0,31,833.0,8.087378640776699,11.70320593758649,31,1638.0,0.33161460264640674,31,1638.0
420.0,35,999.0,10.090909090909092,11.133681837888341,35,1543.0,0.33193193053571723,35,1543.0
425.0,40,1180.0,12.291666666666666,9.80024385957387,40,1501.0,0.26908056710916445,40,1501.0
430.0,43,1385.0,14.578947368421053,8.93314845035733,43,1610.0,0.24005957040571152,43,1610.0
435.0,45,1355.0,14.114583333333334,8.6755221737673,45,1841.0,0.23970511136462777,45,1841.0
440.0,36,1213.0,12.904255319148936,8.816432161861188,36,1685.0,0.25923406678799554,36,1685.0
445.0,32,1299.0,13.121212121212121,11.062386392882242,32,1599.0,0.3355879464786822,32,1599.0
450.0,32,1459.0,15.197916666666666,11.26467579446406,32,1680.0,0.33813393733318153,32,1680.0
455.0,29,1212.0,12.0,11.928620963006509,29,1839.0,0.33433987451855235,29,1839.0
460.0,21,801.0,7.628571428571429,12.511090745716796,21,1281.0,0.40217205182166116,21,1281.0
465.0,25,881.0,8.39047619047619,12.445613200212325,25,1393.0,0.3924643677465606,25,1393.0
470.0,34,928.0,8.592592592592593,12.490045114094514,34,1478.0,0.38439287080407086,34,1478.0
475.0,37,1108.0,9.892857142857142,13.49694462010163,37,1614.0,0.4008481498060325,37,1614.0
480.0,39,1297.0,11.47787610619469,13.267569138523802,39,1742.0,0.3988732670314871,39,1742.0
485.0,42,1505.0,13.558558558558559,12.579980685818525,42,1930.0,0.40091613088741546,42,1930.0
490.0,47,1731.0,16.177570093457945,11.481649822734186,47,2157.0,0.35790612325941484,47,2157.0
495.0,52,1982.0,17.539823008849556,11.449486902480025,52,2408.0,0.3549074269870873,52,2408.0
500.0,55,2249.0,20.445454545454545,9.917300690353827,55,2675.0,0.3423431949796022,55,2675.0
505.0,58,2533.0,22.41592920353982,8.756546865281463,58,2959.0,0.3307716561696954,58,2959.0
510.0,64,2838.0,24.256410256410255,8.368802295850791,64,3264.0,0.300341463374921,64,3264.0
515.0,66,2878.0,24.18487394957983,7.7389244298256274,66,3603.0,0.268424847090665,66,3603.0
520.0,47,2249.0,18.899159663865547,7.44221622967249,47,3197.0,0.2855886793938214,47,3197.0
525.0,53,2385.0,19.710743801652892,6.4575768927684685,53,3447.0,0.24032746155503673,53,3447.0
530.0,73,2711.0,22.40495867768595,5.628150846719488,73,3766.0,0.2209028701899769,73,3766.0
535.0,71,2701.0,21.782258064516128,5.639663723548699,71,4139.0,0.1996618075077856,71,4139.0
540.0,63,2386.0,18.936507936507937,6.085531519908411,63,3940.0,0.2054110001095217,63,3940.0
545.0,63,2520.0,19.6875,6.636303166938731,63,4156.0,0.212861643021566,63,4156.0
550.0,54,2333.0,17.946153846153845,7.4014158122341085,54,3863.0,0.20712597936978633,54,3863.0
555.0,57,2552.0,19.18796992481203,7.548027502928232,57,4126.0,0.18949161393214922,57,4126.0
560.0,77,2894.0,21.279411764705884,7.904059843255057,77,4474.0,0.18683949045126994,77,4474.0
565.0,81,3142.0,22.768115942028984,7.340689001701406,81,4855.0,0.1681189818477575,81,4855.0
570.0,68,3059.0,21.09655172413793,8.23912236825233,68,4898.0,0.19520847534528887,68,4898.0
575.0,61,3015.0,20.65068493150685,8.099887031498664,61,5098.0,0.1806414583104201,61,5098.0
580.0,49,2873.0,19.95138888888889,6.983948819185067,49,4839.0,0.16907554557626633,49,4839.0
585.0,74,3112.0,21.315068493150687,6.344846626453231,74,5164.0,0.1510684383995892,74,5164.0
590.0,84,3437.0,23.06711409395973,6.36794062476815,84,5484.0,0.15972133384970932,84,5484.0
595.0,89,3758.0,25.564625850340136,6.210118515869315,89,5928.0,0.15645381721272955,89,5928.0
600.0,78,3851.0,25.673333333333332,6.8992783979007015,78,6008.0,0.18183112237198248,78,6008.0
605.0,70,4060.0,26.887417218543046,7.979407129541011,70,5946.0,0.20735813462576907,70,5946.0
610.0,74,4242.0,27.545454545454547,8.244622262967376,74,6152.0,0.21313707418785002,74,6152.0
615.0,58,3980.0,24.875,9.001410751120213,58,5999.0,0.2410879842356518,58,5999.0
620.0,67,4131.0,25.9811320754717,8.982646319210655,67,6284.0,0.2480131223288315,67,6284.0
625.0,79,4305.0,26.73913043478261,8.121858729558628,79,6527.0,0.21364858925664584,79,6527.0
630.0,90,4654.0,28.206060606060607,7.131404310321753,90,6926.0,0.19509730207142617,90,6926.0
635.0,81,4775.0,27.761627906976745,7.844997038812921,81,6984.0,0.21170327107112802,81,6984.0
640.0,82,5089.0,28.75141242937853,7.9384998742822415,82,7091.0,0.21647187850457508,82,7091.0
645.0,82,5449.0,30.441340782122904,8.724570627752733,82,7229.0,0.26483219863445745,82,7229.0
650.0,84,5686.0,31.414364640883978,8.461372158102112,84,7617.0,0.24235758452604603,84,7617.0
655.0,76,5459.0,29.830601092896174,8.65661777451154,76,7059.0,0.2569008588121402,76,7059.0
660.0,77,5004.0,27.048648648648648,8.848379095621784,77,7415.0,0.2607255574734725,77,7415.0
665.0,79,2846.0,15.058201058201059,9.332697874771469,79,6829.0,0.2602462340464584,79,6829.0
670.0,78,1856.0,9.61658031088083,9.031708036520183,78,7226.0,0.24126944313032936,78,7226.0
675.0,69,1244.0,6.513089005235602,7.852351126534152,69,7404.0,0.21434404129835632,69,7404.0
680.0,79,1157.0,6.154255319148936,6.58897604721283,79,7711.0,0.19517067778325967,79,7711.0
685.0,100,1132.0,6.0212765957446805,5.855455942717208,100,8061.0,0.1731915783926907,100,8061.0
690.0,118,1579.0,8.097435897435897,6.429934001280591,118,8620.0,0.1762533965009966,118,8620.0
695.0,119,1949.0,10.151041666666666,5.71067973346376,119,8304.0,0.1731446086751705,119,8304.0
700.0,118,2385.0,12.293814432989691,5.544258417260726,118,8842.0,0.1750329714410454,118,8842.0
705.0,102,2401.0,12.126262626262626,5.805307579243971,102,9171.0,0.18012474316613714,102,9171.0
710.0,108,2743.0,13.78391959798995,5.407367649561091,108,9652.0,0.16830234533729144,108,9652.0
715.0,119,3208.0,16.12060301507538,5.111964186075959,119,9429.0,0.1605008493027591,119,9429.0
720.0,127,3597.0,17.985,5.16887399051963,127,9107.0,0.1553395704945659,127,9107.0
725.0,133,4066.0,20.128712871287128,5.046529379429514,133,9547.0,0.13818811523336844,133,9547.0
730.0,115,3993.0,19.014285714285716,6.157040389845074,115,9604.0,0.16253974600462945,115,9604.0
735.0,117,4002.0,18.788732394366196,6.134003281020642,117,10116.0,0.1593005865886343,117,10116.0
740.0,123,4249.0,19.76279069767442,5.17524851630413,123,10247.0,0.1354672221825623,123,10247.0
