step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,60.40119444759785,0,0.0,0.9918205722967044,0,0.0
10.0,0,0.0,0.0,60.84826824110224,0,0.0,0.9991617679433745,0,0.0
15.0,0,0.0,0.0,33.622265992740815,0,0.0,0.4386673703176704,0,0.0
20.0,0,0.0,0.0,35.36223142209574,0,0.0,0.6818669172913698,0,0.0
25.0,0,0.0,0.0,37.29742453555455,0,0.0,0.923275310005976,0,0.0
30.0,0,0.0,0.0,14.764319647826934,0,0.0,0.9843915345112261,0,0.0
35.0,0,0.0,0.0,27.896120859321677,0,0.0,0.9837805972541921,0,0.0
40.0,0,0.0,0.0,28.224688648712384,0,0.0,0.9935899176348039,0,0.0
45.0,0,0.0,0.0,27.965988811067177,0,0.0,0.9832005209632947,0,0.0
50.0,0,0.0,0.0,30.09775980372664,0,0.0,0.9408235003293887,0,0.0
55.0,0,0.0,0.0,20.403203837689084,0,0.0,0.700827058422134,0,0.0
60.0,1,3.0,0.42857142857142855,19.925328855633353,1,3.0,0.7831027724570792,1,3.0
65.0,1,8.0,1.0,16.08618055448885,1,8.0,0.7517179722645037,1,8.0
70.0,2,14.0,1.5555555555555556,15.715514745784535,2,14.0,0.618546877205134,2,14.0
75.0,0,0.0,0.0,20.146086178324833,0,26.0,0.6710507380896167,0,26.0
80.0,0,0.0,0.0,19.792847318088626,0,0.0,0.937720989048878,0,0.0
85.0,0,0.0,0.0,19.611990325652688,0,0.0,0.8859392556027035,0,0.0
90.0,0,0.0,0.0,21.683005988312026,0,0.0,0.9413663999451837,0,0.0
95.0,1,2.0,0.16666666666666666,20.020997764394092,1,2.0,0.7916997487118659,1,2.0
100.0,2,9.0,0.75,20.065149037252468,2,9.0,0.6973920304664503,2,9.0
105.0,1,0.0,0.0,17.906787493896317,1,17.0,0.500902678785497,1,17.0
110.0,1,5.0,0.4166666666666667,19.768757260763042,1,5.0,0.648319947933037,1,5.0
115.0,1,10.0,0.8333333333333334,18.456089526657404,1,10.0,0.6538320728636173,1,10.0
120.0,2,18.0,1.5,20.32344547334514,2,18.0,0.6630767991587173,2,18.0
125.0,0,0.0,0.0,17.339078466226034,0,7.0,0.7721352712880767,0,7.0
130.0,0,0.0,0.0,20.721082501597003,0,0.0,0.822416646124814,0,0.0
135.0,1,2.0,0.14285714285714285,17.566980737664686,1,4.0,0.6640006580286082,1,4.0
140.0,2,8.0,0.6153846153846154,17.250758903460305,2,8.0,0.7040624164937157,2,8.0
145.0,2,18.0,1.0588235294117647,17.095922646186555,2,17.0,0.6458524699779736,2,17.0
150.0,2,28.0,1.6470588235294117,15.142410043829992,2,27.0,0.6156796043507737,2,27.0
155.0,3,41.0,2.5625,14.316191637933432,3,40.0,0.628809415248194,3,40.0
160.0,3,56.0,3.2941176470588234,13.854342471921868,3,55.0,0.5816731212662698,3,55.0
165.0,4,75.0,3.9473684210526314,18.002779760143238,4,74.0,0.6370714485336653,4,74.0
170.0,4,95.0,4.318181818181818,19.675284336095515,4,94.0,0.6617938198940145,4,94.0
175.0,6,123.0,5.3478260869565215,19.45137480495082,6,122.0,0.6599371419551376,6,122.0
180.0,6,153.0,6.6521739130434785,17.105734158751247,6,152.0,0.6187126491305376,6,152.0
185.0,7,185.0,7.4,17.734243159852426,7,184.0,0.5973352940013513,7,184.0
190.0,8,221.0,8.185185185185185,17.443310841664513,8,218.0,0.5925080435640876,8,218.0
195.0,8,221.0,7.366666666666666,17.00636138124691,8,260.0,0.5624676531695744,8,260.0
200.0,8,226.0,7.290322580645161,16.23412610428542,8,230.0,0.6004001166502188,8,230.0
205.0,8,259.0,7.4,15.63491652832752,8,270.0,0.5786822130119811,8,270.0
210.0,12,310.0,8.61111111111111,15.331974440527542,12,314.0,0.49371056427238236,12,314.0
215.0,11,131.0,3.1951219512195124,15.591078980181074,11,381.0,0.45623115804116493,11,381.0
220.0,8,144.0,3.5121951219512195,15.76867358997992,8,170.0,0.5329975195488386,8,170.0
225.0,10,190.0,4.75,13.87786512026131,10,197.0,0.5110944825985186,10,197.0
230.0,11,244.0,6.1,12.092159954186572,11,251.0,0.4462683086423697,11,251.0
235.0,12,303.0,7.214285714285714,12.50726074688727,12,310.0,0.4200096998011806,12,310.0
240.0,14,371.0,7.8936170212765955,15.35092909791818,14,378.0,0.5313131800714981,14,378.0
245.0,14,441.0,9.1875,15.194051836742792,14,448.0,0.5230394863562731,14,448.0
250.0,15,515.0,10.3,15.639019469720235,15,522.0,0.49230162993213283,15,522.0
255.0,12,436.0,8.226415094339623,16.417116045416105,12,562.0,0.483682411958694,12,562.0
260.0,10,466.0,8.62962962962963,15.114318389631835,10,493.0,0.5025453912256189,10,493.0
265.0,12,524.0,10.693877551020408,11.76313814768349,12,531.0,0.4554015263534489,12,531.0
270.0,13,589.0,11.326923076923077,12.551233091606937,13,596.0,0.48229210700984515,13,596.0
275.0,11,457.0,8.160714285714286,13.598007672192884,11,659.0,0.4899224241549088,11,659.0
280.0,9,396.0,7.071428571428571,13.411089775816086,9,484.0,0.5095933778716193,9,484.0
285.0,12,450.0,7.627118644067797,14.44722164997885,12,457.0,0.5579998295373381,12,457.0
290.0,14,514.0,8.566666666666666,14.921416464731376,14,518.0,0.5115377027182648,14,518.0
295.0,14,584.0,9.26984126984127,17.048826583497238,14,588.0,0.5391919634286585,14,588.0
300.0,13,598.0,9.80327868852459,16.932118918448193,13,661.0,0.5236119028935149,13,661.0
305.0,13,663.0,11.631578947368421,13.974831085214293,13,667.0,0.534389539746648,13,667.0
310.0,11,670.0,11.551724137931034,13.280936412737855,11,732.0,0.5218576489458334,11,732.0
315.0,12,716.0,11.548387096774194,13.58513184602183,12,734.0,0.5603994391569493,12,734.0
320.0,15,589.0,9.5,13.064831877569999,15,808.0,0.4746510838801818,15,808.0
325.0,10,90.0,1.5517241379310345,12.225501686279529,10,658.0,0.44067568669672996,10,658.0
330.0,11,120.0,1.935483870967742,13.533707558385233,11,474.0,0.46083604160733027,11,474.0
335.0,16,186.0,2.8181818181818183,14.72672780417421,16,293.0,0.46081029110829336,16,293.0
340.0,16,266.0,4.222222222222222,15.229238284871887,16,278.0,0.48212217679251057,16,278.0
345.0,17,351.0,5.754098360655738,14.845001158090747,17,344.0,0.5010285845487297,17,344.0
350.0,15,320.0,5.161290322580645,13.237517987644742,15,430.0,0.42379426666963704,15,430.0
355.0,17,318.0,4.892307692307693,13.354987368658158,17,360.0,0.4475239864713695,17,360.0
360.0,21,327.0,4.880597014925373,12.81163955851144,21,457.0,0.3675737011923433,21,457.0
365.0,24,381.0,5.219178082191781,13.686490258471535,24,448.0,0.3773659713466252,24,448.0
370.0,21,454.0,6.053333333333334,13.105474071588903,21,571.0,0.3728357294322736,21,571.0
375.0,21,532.0,7.093333333333334,12.33415926153965,21,543.0,0.39928966457138704,21,543.0
380.0,23,614.0,8.186666666666667,10.959170582667499,23,657.0,0.35253216470012444,23,657.0
385.0,23,659.0,8.341772151898734,11.8475427836046,23,707.0,0.4084539470052017,23,707.0
390.0,27,787.0,9.716049382716049,11.983994472891478,27,814.0,0.389297869480976,27,814.0
395.0,30,931.0,11.493827160493828,11.42072649141978,30,937.0,0.3508584105739188,30,937.0
400.0,34,1094.0,13.023809523809524,12.745515812556349,34,1100.0,0.3744026402079807,34,1100.0
405.0,34,1264.0,14.528735632183908,12.656120874479827,34,1271.0,0.37723118870379946,34,1271.0
410.0,38,1442.0,16.202247191011235,12.636290121658583,38,1449.0,0.361098292625386,38,1449.0
415.0,40,1639.0,17.43617021276596,12.025042360609724,40,1646.0,0.3439249987176683,40,1646.0
420.0,43,1850.0,20.555555555555557,9.878217991559925,43,1857.0,0.2840072769745154,43,1857.0
425.0,42,1839.0,20.897727272727273,8.280175089621446,42,2089.0,0.23720545491175862,42,2089.0
430.0,35,1706.0,20.30952380952381,6.282896184369809,35,1981.0,0.22567198024280696,35,1981.0
435.0,35,1876.0,22.070588235294117,6.706789311974058,35,2041.0,0.2575351648043559,35,2041.0
440.0,37,2056.0,23.906976744186046,8.097860798689746,37,2100.0,0.2846499983870035,37,2100.0
445.0,34,1551.0,17.233333333333334,9.424565131364897,34,2283.0,0.28365030377801437,34,2283.0
450.0,16,469.0,5.0978260869565215,11.137308077071749,16,1451.0,0.3431541116592995,16,1451.0
455.0,17,551.0,5.455445544554456,13.275493253247525,17,882.0,0.4318694341452836,17,882.0
460.0,21,651.0,6.320388349514563,14.029499667299786,21,745.0,0.46735867570030815,21,745.0
465.0,22,616.0,5.757009345794392,14.97481580431013,22,853.0,0.46467592919012535,22,853.0
470.0,21,340.0,3.1481481481481484,15.191002140103443,21,797.0,0.48508920665537353,21,797.0
475.0,20,371.0,3.5673076923076925,14.14036347503136,20,908.0,0.4617209409811467,20,908.0
480.0,22,438.0,4.132075471698113,13.67838142095929,22,925.0,0.48093331990119076,22,925.0
485.0,23,374.0,3.280701754385965,14.63619166859837,23,1050.0,0.4531004082792117,23,1050.0
490.0,19,281.0,2.5545454545454547,14.91960952537738,19,870.0,0.4822008984506052,19,870.0
495.0,25,369.0,3.548076923076923,13.56839522973732,25,986.0,0.47430226993988245,25,986.0
500.0,26,464.0,4.504854368932039,12.676508562556439,26,1080.0,0.47123642385565523,26,1080.0
505.0,31,546.0,5.102803738317757,11.496340417114618,31,1225.0,0.41703363849505487,31,1225.0
510.0,29,498.0,4.527272727272727,11.177024386274027,29,1062.0,0.40027533727808634,29,1062.0
515.0,35,599.0,5.445454545454545,11.5969795351389,35,1229.0,0.38060415520582486,35,1229.0
520.0,42,761.0,7.046296296296297,11.427437272555064,42,1361.0,0.38261270522139124,42,1361.0
525.0,42,938.0,8.685185185185185,10.416433707514592,42,1564.0,0.3245208374568048,42,1564.0
530.0,45,981.0,9.432692307692308,8.723456419690327,45,1784.0,0.2669117317049727,45,1784.0
535.0,35,779.0,7.490384615384615,8.898104127282293,35,1670.0,0.2966771800885428,35,1670.0
540.0,32,892.0,8.660194174757281,9.334268423816635,32,1661.0,0.30808443469856805,32,1661.0
545.0,32,1009.0,9.518867924528301,10.522109199543902,32,1737.0,0.3168779473014756,32,1737.0
550.0,39,1111.0,10.383177570093459,11.108990184162234,39,1794.0,0.3001415079031004,39,1794.0
555.0,41,1130.0,10.36697247706422,11.397806542312592,41,2003.0,0.2902346983388489,41,2003.0
560.0,41,845.0,7.897196261682243,11.6017115389271,41,1958.0,0.30186222927324774,41,1958.0
565.0,44,1000.0,9.090909090909092,11.171474145397799,44,2032.0,0.2603594217883063,44,2032.0
570.0,48,1235.0,10.833333333333334,11.20756231510309,48,2083.0,0.256209241649363,48,2083.0
575.0,47,1320.0,11.68141592920354,10.52194406432171,47,2331.0,0.2529965920916673,47,2331.0
580.0,37,1170.0,10.636363636363637,8.776986946064032,37,2205.0,0.22892547816232464,37,2205.0
585.0,43,1357.0,11.8,9.255920534729581,43,2208.0,0.25297089662964944,43,2208.0
590.0,44,1575.0,13.461538461538462,9.834587671721323,44,2282.0,0.28150822628686545,44,2282.0
595.0,45,1799.0,15.643478260869566,11.18212831457567,45,2464.0,0.30743167182688275,45,2464.0
