step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,60.615429262926234,0,0.0,0.9953384248671402,0,0.0
10.0,0,0.0,0.0,60.84679625224545,0,0.0,0.9991375970831173,0,0.0
15.0,0,0.0,0.0,34.01747552438983,0,0.0,0.5894515660081777,0,0.0
20.0,0,0.0,0.0,35.91705071704573,0,0.0,0.9032003338913095,0,0.0
25.0,0,0.0,0.0,36.52979742071514,0,0.0,0.997801639832753,0,0.0
30.0,0,0.0,0.0,12.127247321345806,0,0.0,0.9717217137230001,0,0.0
35.0,0,0.0,0.0,26.733186977412196,0,0.0,0.9884138231265001,0,0.0
40.0,0,0.0,0.0,27.19142156362714,0,0.0,0.98462579670996,0,0.0
45.0,0,0.0,0.0,27.379786753063343,0,0.0,0.9944586185600605,0,0.0
50.0,0,0.0,0.0,30.69673144219187,0,0.0,0.9683726528271721,0,0.0
55.0,0,0.0,0.0,21.961193606456554,0,0.0,0.8246554825061236,0,0.0
60.0,0,0.0,0.0,23.10859676421341,0,0.0,0.926772236475276,0,0.0
65.0,0,0.0,0.0,19.080207063583728,0,0.0,0.8548602502756093,0,0.0
70.0,1,2.0,0.2222222222222222,20.96813035931612,1,2.0,0.8473717308605753,1,2.0
75.0,0,0.0,0.0,24.75901803595678,0,4.0,0.8286623029004839,0,4.0
80.0,1,3.0,0.3,22.316298930453147,1,3.0,0.8537709522626622,1,3.0
85.0,0,0.0,0.0,22.940412448919336,0,7.0,0.8070240949484259,0,7.0
90.0,1,1.0,0.09090909090909091,17.0906374761139,1,1.0,0.7620211586247803,1,1.0
95.0,1,3.0,0.2727272727272727,14.232472610109086,1,8.0,0.6487838179870479,1,8.0
100.0,1,2.0,0.18181818181818182,12.656418358004895,1,2.0,0.6643937692285659,1,2.0
105.0,1,7.0,0.6363636363636364,12.2593115476787,1,7.0,0.6506937958710719,1,7.0
110.0,1,12.0,1.0909090909090908,13.9757050256088,1,12.0,0.6496338599224646,1,12.0
115.0,0,0.0,0.0,17.264756662698503,0,16.0,0.7557940519653253,0,16.0
120.0,1,1.0,0.07692307692307693,17.860730671677207,1,1.0,0.6643579067295593,1,1.0
125.0,1,5.0,0.38461538461538464,18.535758721234345,1,10.0,0.6524840327355848,1,10.0
130.0,0,0.0,0.0,21.873075078917648,0,5.0,0.7956369163931267,0,5.0
135.0,1,3.0,0.1875,19.545697578879107,1,9.0,0.6390761789472001,1,9.0
140.0,2,11.0,0.7857142857142857,18.926471947215912,2,16.0,0.7047324032285261,2,16.0
145.0,2,21.0,1.2352941176470589,17.26661593825843,2,26.0,0.6297093701970544,2,26.0
150.0,2,31.0,1.8235294117647058,16.068500965493712,2,36.0,0.5767644739130826,2,36.0
155.0,2,26.0,1.4444444444444444,15.99242949962851,2,48.0,0.581533227802656,2,48.0
160.0,2,36.0,2.1176470588235294,14.687789755818923,2,41.0,0.6275999935293366,2,41.0
165.0,1,3.0,0.15,19.954144248690632,1,52.0,0.7161431184452933,1,52.0
170.0,1,8.0,0.34782608695652173,21.769050858634884,1,8.0,0.8197375108425398,1,8.0
175.0,2,16.0,0.6666666666666666,21.323675213414084,2,17.0,0.7783374432705598,2,17.0
180.0,2,26.0,1.1818181818181819,17.644143401869883,2,26.0,0.7165943090331537,2,26.0
185.0,4,42.0,1.75,16.305909333462512,4,42.0,0.6360157364092456,4,42.0
190.0,6,67.0,2.4814814814814814,16.04285854877988,6,67.0,0.6309847999052798,6,67.0
195.0,7,102.0,3.4,17.60749626799114,7,100.0,0.6117415394968652,7,100.0
200.0,9,143.0,4.46875,15.779117430309581,9,141.0,0.5334079657716383,9,141.0
205.0,11,194.0,5.243243243243243,16.21695553127173,11,192.0,0.5410264828116748,11,192.0
210.0,13,257.0,7.138888888888889,14.595380230764233,13,255.0,0.4576162509150017,13,255.0
215.0,15,330.0,7.857142857142857,14.903305894338665,15,328.0,0.4718563734813073,15,328.0
220.0,13,284.0,6.926829268292683,11.542766944086827,13,406.0,0.3781445163477583,13,406.0
225.0,11,329.0,8.435897435897436,11.47236363263385,11,331.0,0.44475565907261605,11,331.0
230.0,9,177.0,4.425,10.250571505998636,9,393.0,0.3818601626881924,9,393.0
235.0,8,179.0,4.261904761904762,11.26967303817256,8,215.0,0.47180226101385647,8,215.0
240.0,12,222.0,4.530612244897959,14.522871883840192,12,267.0,0.5254014007606491,12,267.0
245.0,12,282.0,5.64,14.235892731028143,12,318.0,0.5191256838908692,12,318.0
250.0,13,199.0,3.9019607843137254,14.72871079787273,13,384.0,0.4904333876728025,13,384.0
255.0,14,225.0,4.166666666666667,15.518964398844412,14,300.0,0.5239019139155563,14,300.0
260.0,9,144.0,2.526315789473684,14.956129192552172,9,368.0,0.46192810076418384,9,368.0
265.0,8,124.0,2.2962962962962963,13.402494550026017,8,241.0,0.48246798594855916,8,241.0
270.0,8,164.0,2.8771929824561404,14.146433728785757,8,236.0,0.546866838935054,8,236.0
275.0,10,177.0,3.2777777777777777,12.304322019667033,10,280.0,0.4817270727024577,10,280.0
280.0,11,231.0,4.125,13.033807157845056,11,264.0,0.5082614318854305,11,264.0
