step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,60.50526233943402,0,0.0,0.9935294238679793,0,0.0
10.0,0,0.0,0.0,60.546097351533724,0,0.0,0.9941999570493324,0,0.0
15.0,0,0.0,0.0,33.806279507985984,0,0.0,0.4149080006746411,0,0.0
20.0,0,0.0,0.0,35.52178173738876,0,0.0,0.6368797812159684,0,0.0
25.0,0,0.0,0.0,37.314227487189875,0,0.0,0.8448263978131015,0,0.0
30.0,0,0.0,0.0,15.905837046440617,0,0.0,0.9770722329788057,0,0.0
35.0,0,0.0,0.0,28.81704118835749,0,0.0,0.998471541410108,0,0.0
40.0,0,0.0,0.0,28.576651132694064,0,0.0,0.9919690826503667,0,0.0
45.0,0,0.0,0.0,28.540426036953544,0,0.0,0.9922180095936081,0,0.0
50.0,0,0.0,0.0,31.519297205203898,0,0.0,0.9648514206857162,0,0.0
55.0,0,0.0,0.0,22.907089852521185,0,0.0,0.8256649902792081,0,0.0
60.0,0,0.0,0.0,23.619349383812274,0,0.0,0.9217386613022233,0,0.0
65.0,0,0.0,0.0,21.792057237034,0,0.0,0.8734221671193414,0,0.0
70.0,1,1.0,0.1111111111111111,22.56592439356818,1,1.0,0.8078306743043383,1,1.0
75.0,1,6.0,0.6,25.259884545513763,1,5.0,0.8044338313601802,1,5.0
80.0,1,11.0,1.1,22.741996216783864,1,10.0,0.8024052175780962,1,10.0
85.0,1,16.0,1.4545454545454546,23.079301885036827,1,15.0,0.8263012574606794,1,15.0
90.0,1,21.0,1.9090909090909092,17.808499658245424,1,20.0,0.6916392079884545,1,20.0
95.0,3,30.0,2.727272727272727,15.66858411217504,3,29.0,0.6487651772574043,3,29.0
100.0,3,45.0,4.090909090909091,13.697693788465147,3,44.0,0.5613133869453363,3,44.0
105.0,3,60.0,5.454545454545454,10.327547986518244,3,59.0,0.4282676401486321,3,59.0
110.0,5,79.0,7.181818181818182,9.181754267946461,5,78.0,0.3706230073396712,5,78.0
115.0,4,81.0,6.75,11.403004837403522,4,102.0,0.38621274188802135,4,102.0
120.0,4,76.0,5.846153846153846,13.904514847185677,4,96.0,0.44204537270873684,4,96.0
125.0,1,5.0,0.38461538461538464,13.780740708481074,1,117.0,0.43834355307617934,1,117.0
130.0,1,10.0,0.7142857142857143,14.86325805656208,1,31.0,0.6773183682434001,1,31.0
135.0,2,19.0,1.1875,14.683325103865581,2,41.0,0.5659880159421586,2,41.0
140.0,2,29.0,1.9333333333333333,15.481078610805925,2,50.0,0.6366944360077815,2,50.0
145.0,1,25.0,1.3157894736842106,16.5723149168444,1,59.0,0.5990554132550524,1,59.0
150.0,1,30.0,1.5789473684210527,16.969715475506927,1,51.0,0.6467254847148279,1,51.0
155.0,2,37.0,1.85,17.57659136817902,2,58.0,0.650684644538265,2,58.0
160.0,2,47.0,2.473684210526316,15.565575839652704,2,68.0,0.626196490190298,2,68.0
165.0,2,3.0,0.13043478260869565,18.746878323709474,2,79.0,0.6596152648193613,2,79.0
170.0,2,13.0,0.5416666666666666,20.149009693137575,2,13.0,0.6993572055984291,2,13.0
175.0,3,22.0,0.9166666666666666,20.590991711228657,3,22.0,0.7834959479020609,3,22.0
180.0,3,37.0,1.608695652173913,17.7418893884615,3,37.0,0.6861236631034745,3,37.0
185.0,2,37.0,1.48,17.189632629498757,2,51.0,0.6688268078784017,2,51.0
190.0,3,33.0,1.1785714285714286,18.33530433573679,3,47.0,0.7032523842651862,3,47.0
195.0,3,45.0,1.4516129032258065,20.05789069328668,3,64.0,0.683198301045373,3,64.0
200.0,4,63.0,1.9090909090909092,19.537099415431562,4,77.0,0.6925594245209552,4,77.0
205.0,6,87.0,2.4166666666666665,17.648235940773446,6,101.0,0.5912597065186672,6,101.0
210.0,8,127.0,3.5277777777777777,17.901412471762473,8,141.0,0.5668390764873005,8,141.0
215.0,12,174.0,4.461538461538462,15.90388136999737,12,183.0,0.5262563732428911,12,183.0
220.0,10,199.0,5.2368421052631575,13.37680450823232,10,244.0,0.45470174569990895,10,244.0
225.0,9,230.0,5.897435897435898,13.946147180302692,9,242.0,0.49999014006086573,9,242.0
230.0,10,276.0,7.076923076923077,13.01355451858317,10,280.0,0.47515030267854935,10,280.0
235.0,12,332.0,8.097560975609756,14.109601534622435,12,327.0,0.4690741840776483,12,327.0
240.0,12,392.0,8.340425531914894,17.71094919957503,12,387.0,0.5740935249519088,12,387.0
245.0,13,454.0,9.659574468085106,17.521431503930046,13,449.0,0.5319390845117388,13,449.0
250.0,14,521.0,11.326086956521738,17.318741667571672,14,516.0,0.5271166552343629,14,516.0
255.0,14,591.0,12.3125,18.122960034387834,14,586.0,0.5126551361126772,14,586.0
260.0,15,666.0,13.32,16.826666762235675,15,661.0,0.5037927460937915,15,661.0
265.0,17,750.0,15.625,15.490846661300253,17,745.0,0.4432672075431195,17,745.0
270.0,18,839.0,17.851063829787233,14.700805051950947,18,834.0,0.4356270416504868,18,834.0
275.0,15,585.0,11.938775510204081,13.59431084489593,15,922.0,0.4090038637256575,15,922.0
280.0,13,470.0,9.4,13.290093067276525,13,603.0,0.47978762984638207,13,603.0
285.0,15,541.0,10.403846153846153,12.267308341033784,15,541.0,0.5018937259423161,15,541.0
290.0,16,619.0,11.679245283018869,12.329696413623596,16,619.0,0.4669027529743973,16,619.0
